"","year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage"
"823",2003,33,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"824",2004,32,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.60205999132796",99.6894636984864
"825",2009,29,"Never Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.55630250076729",95.2307125669819
"826",2005,28,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.41497334797082",82.6796372966372
"827",2005,42,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.76168733198664",116.943081320617
"828",2007,28,"Widowed","White","< HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4",54.5981500331442
"829",2009,36,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.92941892571429",138.299126920883
"830",2007,47,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.8750612633917",130.982177377461
"831",2007,53,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.64100585131578",281.745970551857
"832",2003,48,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.09691001300806",163.515863976238
"833",2006,36,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.18858541025256",179.214858036271
"834",2007,55,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.83884909073726",126.323880709786
"835",2008,37,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.25527250510331",70.4760196469445
"836",2009,68,"Married","White","College Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.77085201164214",118.019753340006
"837",2003,65,"Married","Other","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.26717172840301",71.3196387942183
"838",2007,37,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.74036268949424",114.475713290347
"839",2007,33,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.92941892571429",138.299126920883
"840",2003,19,"Never Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4",54.5981500331442
"841",2004,50,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"842",2004,22,"Never Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","2. No","4.38738982633873",80.4302079458208
"843",2004,40,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.49136169383427",89.2428846644714
"844",2008,45,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.76342799356294",117.146816914805
"845",2009,36,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.84509804001426",127.115743812184
"846",2005,37,"Married","Asian","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.39794000867204",81.2832532842527
"847",2003,24,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","3.95904139232109",52.4070640482002
"848",2007,66,"Married","Black","< HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"849",2004,35,"Married","Asian","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.14612803567824",63.1888610037461
"850",2009,33,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.27875360095283",196.125272594255
"851",2005,44,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.6232492903979",101.82435207568
"852",2004,48,"Never Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.68124123737559",107.903923866876
"853",2009,47,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","3.93651374247889",51.2396549228382
"854",2004,41,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"855",2005,55,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.14612803567824",63.1888610037461
"856",2008,74,"Divorced","Black","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","5",148.413159102577
"857",2007,33,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"858",2003,62,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","4.8750612633917",130.982177377461
"859",2004,56,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.6232492903979",101.82435207568
"860",2006,29,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"861",2009,56,"Never Married","Black","< HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.38021124171161",79.8549003093467
"862",2009,47,"Married","Black","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.07918124604763",160.642475408263
"863",2005,45,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.90308998699194",134.705375118879
"864",2007,44,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.07918124604763",160.642475408263
"865",2004,25,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.51851393987789",91.6992261117042
"866",2005,45,"Divorced","Black","Some College","2. Middle Atlantic","Information",">=Very Good","2. No","4.32221929473392",75.3556793180091
"867",2005,40,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.91381385238372",136.15771083723
"868",2003,56,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.90308998699194",134.705375118879
"869",2005,56,"Married","Asian","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.40654018043396",81.9853178344996
"870",2003,47,"Married","Asian","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.17609125905568",176.989650489877
"871",2007,39,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.7781657266251",118.886080351034
"872",2005,38,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.7979596437372",121.262745732618
"873",2009,48,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.54406804435028",94.0727147457005
"874",2005,44,"Married","Black","HS Grad",NA,"Industrial","<=Good","2. No","4.60205999132796",99.6894636984864
"875",2003,42,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","4.81954393554187",123.908567597957
"876",2009,55,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"877",2006,61,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.41497334797082",82.6796372966372
"878",2006,39,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.39794000867204",81.2832532842527
"879",2005,30,"Married","Black","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.65321251377534",104.921506533664
"880",2009,49,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.60205999132796",99.6894636984864
"881",2006,33,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.91381385238372",136.15771083723
"882",2006,31,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.39794000867204",81.2832532842527
"883",2005,35,"Never Married","Asian","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.22696059353245",68.5086896572248
"884",2003,55,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"885",2008,36,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"886",2003,37,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.77085201164214",118.019753340006
"887",2006,33,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"888",2006,48,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.77815125038364",118.884359339886
"889",2004,47,"Married","Asian","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"890",2003,60,"Married","White","Some College","2. Middle Atlantic","Information","<=Good","1. Yes","4.81291335664286",123.089699847943
"891",2004,28,"Never Married","White","College Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.69897000433602",109.833985642199
"892",2005,28,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.63346845557959",102.870246933215
"893",2005,48,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.09691001300806",163.515863976238
"894",2009,29,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","2. No","4.76342799356294",117.146816914805
"895",2004,40,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.52504480703685",92.3000614282589
"896",2009,32,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.60530504614111",100.013486924706
"897",2004,33,"Divorced","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.00860017176192",55.0697284222779
"898",2003,40,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.6232492903979",101.82435207568
"899",2004,42,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5",148.413159102577
"900",2003,36,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.7481880270062",115.375038556391
"901",2004,39,"Married","Black","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.30102999566398",73.7757432746946
"902",2009,44,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.59061783348625",267.901086855275
"903",2009,43,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.86332286012046",129.453644576625
"904",2008,44,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.56820172406699",96.3706528322308
"905",2006,29,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.47712125471966",87.9810327856054
"906",2007,49,"Married","Black","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.65321251377534",104.921506533664
"907",2007,47,"Married","Black","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.8750612633917",130.982177377461
"908",2004,46,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.24990244443139",190.547678564741
"909",2006,41,"Divorced","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.77085201164214",118.019753340006
"910",2008,52,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.38021124171161",79.8549003093467
"911",2003,43,"Divorced","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.28330122870355",72.4793162971252
"912",2004,38,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5",148.413159102577
"913",2003,42,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.31005573775089",74.4446382014083
"914",2005,56,"Married","Black","College Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.77815125038364",118.884359339886
"915",2003,39,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.85733249643127",128.680488220624
"916",2005,29,"Married","Black","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.47712125471966",87.9810327856054
"917",2009,33,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.59061783348625",267.901086855275
"918",2004,33,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.65321251377534",104.921506533664
"919",2004,41,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.53147891704226",92.8958447894966
"920",2004,44,"Never Married","Black","< HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.25527250510331",70.4760196469445
"921",2005,45,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.30102999566398",200.543262324662
"922",2004,58,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.63346845557959",102.870246933215
"923",2005,29,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.63346845557959",102.870246933215
"924",2004,42,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.17609125905568",65.1108537153447
"925",2008,68,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"926",2005,47,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","4.84509804001426",127.115743812184
"927",2005,30,"Married","Black","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.54406804435028",94.0727147457005
"928",2005,39,"Married","White","< HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.21748394421391",67.8625234113681
"929",2008,42,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.83250891270624",125.525498433836
"930",2006,49,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.10720996964787",165.208773767255
"931",2009,36,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.39794000867204",81.2832532842527
"932",2003,44,"Married","Asian","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.72427586960079",112.6488963421
"933",2009,54,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.34242268082221",76.8936025176112
"934",2003,42,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.31806333496276",75.0431540173515
"935",2003,39,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.85733249643127",128.680488220624
"936",2008,30,"Married","Asian","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.07918124604763",59.0970640815891
"937",2004,33,"Never Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.15533603746506",63.7733911962488
"938",2003,28,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.43136376415899",84.0459576539924
"939",2003,38,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.54262627781805",93.9371815810521
"940",2005,30,"Married","Other","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.41497334797082",82.6796372966372
"941",2008,25,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"942",2007,52,"Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"943",2007,26,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.20411998265593",66.9616443217359
"944",2009,54,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.11394335230684",166.324941233877
"945",2005,62,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.60205999132796",99.6894636984864
"946",2009,57,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","4.95424250943933",141.77517233318
"947",2003,32,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.96378782734556",143.134940811134
"948",2003,60,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","3.55630250076729",35.0334213214995
"949",2004,40,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"950",2005,49,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.70965997225026",111.014405508798
"951",2006,54,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.88649072517248",132.487821126123
"952",2009,48,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5",148.413159102577
"953",2009,35,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.30102999566398",73.7757432746946
"954",2009,46,"Divorced","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.96772577592089",143.699710133813
"955",2007,42,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"956",2004,58,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.60688524128857",272.294783220064
"957",2003,30,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.30102999566398",200.543262324662
"958",2008,27,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.4471890512688",85.3865890236244
"959",2008,55,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"960",2004,50,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.1117328566111",61.0524210501246
"961",2006,55,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.77815125038364",118.884359339886
"962",2006,40,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.98227123303957",145.805163374625
"963",2005,32,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","2. No","4.72427586960079",112.6488963421
"964",2006,27,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.67209785793572",106.921814091211
"965",2007,49,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.67209785793572",106.921814091211
"966",2007,50,"Married","White","College Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.84509804001426",127.115743812184
"967",2006,50,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.47712125471966",87.9810327856054
"968",2008,44,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.9731278535997",144.47808766541
"969",2007,57,"Married","Asian","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","5.07773117965239",160.409701962289
"970",2008,72,"Married","Black","5. Advanced Degree","2. Middle Atlantic","Industrial","<=Good","2. No","4.47712125471966",87.9810327856054
"971",2006,23,"Never Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.17609125905568",65.1108537153447
"972",2007,31,"Never Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.17609125905568",NA
"973",2008,36,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4",54.5981500331442
"974",2009,63,"Married","Black",NA,"2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"975",2006,48,"Married","White","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4.40303468374459",81.698421724729
"976",2006,46,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.74036268949424",114.475713290347
"977",2003,55,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.96028522328063",142.634472767972
"978",2007,44,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.07918124604763",160.642475408263
"979",2006,44,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"980",2004,32,"Married","Other","< HS Grad","2. Middle Atlantic","Industrial","<=Good","2. No","4",54.5981500331442
"981",2003,60,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.30102999566398",73.7757432746946
"982",2004,42,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.07918124604763",160.642475408263
"983",2009,48,"Married","Black","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5",148.413159102577
"984",2008,36,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.47713573096112",87.9823064294987
"985",2009,31,"Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.6232492903979",101.82435207568
"986",2006,54,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.7160033436348",111.720849360989
"987",2007,29,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.67209785793572",106.921814091211
"988",2003,46,"Divorced","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.83884909073726",126.323880709786
"989",2003,35,"Divorced","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.69897000433602",109.833985642199
"990",2009,50,"Married","White","< HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.53147891704226",92.8958447894966
"991",2005,25,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4",54.5981500331442
"992",2005,33,"Never Married","White","Some College","2. Middle Atlantic","Information","<=Good","2. No","4.56820172406699",96.3706528322308
"993",2008,34,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"994",2006,51,"Married","Black","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.54406804435028",94.0727147457005
"995",2004,33,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.55630250076729",95.2307125669819
"996",2007,59,"Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.93449845124357",139.00340805947
"997",2006,62,"Separated","Black","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.39794000867204",81.2832532842527
"998",2005,28,"Separated","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"999",2008,40,"Married","White","Some College","2. Middle Atlantic","Information","<=Good","1. Yes","4.47712125471966",87.9810327856054
"1000",2003,52,"Married","White","5. Advanced Degree","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.92941892571429",138.299126920883
"1001",2007,29,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.49415459401844",89.4924795180001
"1002",2007,34,"Married","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.53147891704226",92.8958447894966
"1003",2004,25,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4",54.5981500331442
"1004",2005,66,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.54406804435028",94.0727147457005
"1005",2005,43,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.23044892137827",68.7480877337669
"1006",2007,45,"Married","Black","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.53147891704226",92.8958447894966
"1007",2006,35,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.74036268949424",114.475713290347
"1008",2005,43,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"1009",2007,49,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"1010",2004,60,"Never Married","Black","< HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.34439227368511",77.0452008528242
"1011",2003,46,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.54406804435028",94.0727147457005
"1012",2009,55,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.6232492903979",101.82435207568
"1013",2006,32,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.77815125038364",118.884359339886
"1014",2007,53,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.89209460269048",133.232350826567
"1015",2009,57,"Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.05690485133647",157.10350432345
"1016",2007,51,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information","<=Good","1. Yes","5.64100585131578",281.745970551857
"1017",2004,59,"Married","White","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.20411998265593",182.020620963512
"1018",2006,45,"Married","White","Some College","2. Middle Atlantic","Information","<=Good","1. Yes","4.77995705124691",119.09923477134
"1019",2006,56,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.27230584440209",71.6867436659172
"1020",2005,30,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.44715803134222",85.3839403789827
"1021",2006,21,"Never Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.27875360095283",72.1504556815713
"1022",2003,60,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.92941892571429",138.299126920883
"1023",2007,60,"Married","White","HS Grad","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.6232492903979",101.82435207568
"1024",2007,48,"Divorced","White","< HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.69897000433602",109.833985642199
"1025",2003,39,"Divorced","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.47712125471966",87.9810327856054
"1026",2009,32,"Never Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","1. Yes","4.7481880270062",115.375038556391
"1027",2007,51,"Married","Black","5. Advanced Degree","2. Middle Atlantic","Information",">=Very Good","1. Yes","5.25527250510331",191.573683548412
"1028",2006,47,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.46239799789896",86.6951548289402
"1029",2007,44,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.32878720035453",75.8522371953675
"1030",2008,46,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","5.11394335230684",166.324941233877
"1031",2004,28,"Never Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.04139268515823",56.9055391446732
"1032",2003,24,"Never Married","White","College Grad","2. Middle Atlantic","Information",">=Very Good","2. No","4.60205999132796",99.6894636984864
"1033",2006,37,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.53147891704226",92.8958447894966
"1034",2006,31,"Married","White","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
"1035",2004,72,"Married","White","HS Grad","2. Middle Atlantic","Information","<=Good","1. Yes","4.53147891704226",92.8958447894966
"1036",2008,50,"Married","White","Some College","2. Middle Atlantic","Industrial","<=Good","1. Yes","4.6232492903979",101.82435207568
"1037",2007,36,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.97772360528885",145.143601176911
"1038",2006,27,"Never Married","Black","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.34242268082221",76.8936025176112
"1039",2009,27,"Married","White","Some College","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.50514997831991",90.4819133566401
"1040",2004,41,"Married","White","College Grad","2. Middle Atlantic","Industrial",">=Very Good","2. No","4.84509804001426",127.115743812184
"1041",2008,20,"Never Married","White","Some College","2. Middle Atlantic","Information",">=Very Good","2. No","4.41497334797082",82.6796372966372
"1042",2008,49,"Married","Black","HS Grad","2. Middle Atlantic","Industrial",">=Very Good","1. Yes","4.60205999132796",99.6894636984864
